CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
295,0,295,MUD,MUD,,MEFF,"U.S. Dollar",,Settlement,"",0,,,USD,"","",1,,IIVIIVIIVIIV,1992-04-02,1993-06-14,"","00:00 - 17:15",,"",2,0,0,0,1,
296,0,296,MFC,MFC,,MEFF,"Spanish Govt Bond(5YR)",,Settlement,"",0,10,1000,EUR,"EUR 100000","percent",1,10,IIVIIVIIVIIV,1997-11-07,2000-03-13,"","09:00 - 17:15",,"",2,0,0,0,1,
297,0,297,KB,KB,,ICEUS,"Coffee-Brazil Diff",,Settlement,"",0,3.75,375,USD,"$137500 lbs","cents/lb",1,3.75,IIVIVIVIVIIV,1992-06-12,1994-03-18,"","",,"",2,0,0,0,1,
298,0,298,MFF,MFF,,MEFF,"Spanish Govt Bond(10Yr) (Moved to CSI#100776)",,Settlement,"",0,10,1000,EUR,"EUR 100000","percent",1,10,IIVIIVIIVIIV,1992-04-10,2012-06-04,"","09:00 - 17:15",,"",2,0,1,1,0,
299,0,299,CON,CON,CONF,EUREX,"10-Year Swiss Govt Bond",,Settlement,"",1,10,1000,CHF,"CHF 100000","percent",1,10,IIVIIVIIVIIV,1992-05-29,2020-10-28,"","08:30 - 17:00",,"",2,0,1,0,1,35
300,0,300,IFB,IFB,,MIF,"Italian Govt Bond-10 Yr",,Settlement,"",0,25000,2500000,ITL,"ITL 250000000","percent",1,25000,IIVIIVIIVIIV,1992-09-11,1998-12-07,"","09:10 - 17:00",,"",2,0,0,0,0,
301,0,301,XA9,XA9,,MACE,"Mini Australian Dollar",,Settlement,"",0,6.25,62500,USD,"AUD 62500","USD/AUD",1,6.25,IIVIIVIIVIIV,1995-01-06,2001-09-17,"","07:20 - 14:00",,"",4,0,0,0,1,
302,0,302,LIC,LIC,,EUREX,"Euromark-3mth",,Settlement,"",0,2.5,2500,DEM,"DEM1000000","percent",5,12.5,SSVSSVSSVSSV,1997-01-14,2001-03-19,"","",,"",3,0,0,0,1,
303,0,303,XG,XG,,MACE,"Mini Euro",,Settlement,"",0,6.25,62500,USD,"EUR 62500","USD/EUR",1,6.25,IIVIIVIIVIIV,1999-11-05,2001-09-17,"","07:20 - 14:15",,"",4,0,0,0,1,
304,0,304,NGL,NGL,M,ICEEUROPE,"Natural Gas (National Balancing Point)",,Settlement,"",1,0.3,300,GBP,"1000 Therm/Day","0.01 GBP/Therm/Day",1,0.3,VVVVVVVVVVVV,1997-01-31,2020-10-28,"","07:00 - 17:00",,"",3,0,0,0,1,29190
305,0,305,KLB,KLB,FKB3,MDEX,"3-Month KLIBOR",,Settlement,"",1,25,2500,MYR,"1000000 MYR","points",1,25,SSVSSVSSVSSV,1997-02-19,2020-10-28,"","09:00 - 17:00",,"",2,0,1,0,1,0
306,0,306,BDS,BDS,,DTB,"German Schatz 2 Yr",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1997-03-07,1999-03-09,"","08:00 - 19:00",,"",2,0,0,0,0,
307,0,307,HTX,HTX,,OTOB,"Hungarian Stock Index",,Settlement,"",0,0.1,10,EUR,"EUR 10 x Index","points",1,0.1,VVVVVVVVVVVV,1997-03-20,2013-10-04,"","",,"",2,0,1,1,0,
308,0,308,BIB,BIB,,BELFOX,"BIBOR(3 Mth)",,Settlement,"",0,1.25,1250,EUR,"EUR 500000","percent",1,1.25,IIVIIVIIVIIV,1992-08-21,2000-08-02,"","09:00 - 16:30",,"",3,0,0,0,0,
309,0,309,BGB,BGB,,BELFOX,"Belgium Govt Bond",,Settlement,"",0,250,25000,BEF,"2500000 BEF","percent",1,250,IIVIIVIIVIIV,1992-08-28,1998-09-29,"","09:00 - 17:00",,"",2,0,0,0,1,
310,0,310,JRU,JRU,ORSS3,OSE,"Rubber",RTH,Settlement,"JRU,JR2,JR1",1,500,5000,JPY,"5000 kg","JPY/kg",1,500,VVVVVVVVVVVV,1992-01-06,2020-10-28,"","09:00 - 15:30",,"",1,0,1,0,1,15471
311,0,311,JPA,JPA,OPALL,OSE,"Palladium",RTH,Settlement,"JPA,JP6,JP5",1,500,500,JPY,"500 G","JPY/G",1,500,IVIVIVIVIVIV,1992-08-03,2020-10-28,"","09:00 - 15:30",,"",0,0,1,0,1,30
312,0,312,JCR,JCR,OTGCN,OSE,"Corn",RTH,Settlement,"JCR,JC3,JC4",1,500,500,JPY,"50 tonnes","10 JPY/tonne",1,500,VIVIVIVIVIVI,1992-08-12,2020-10-28,"","08:45 - 15:15",,"",0,0,1,0,1,92
313,0,313,JCT,JCT,,TCE,"Cotton",,Settlement,"",0,400,4000,JPY,"4000 lbs","JPY/lb",1,400,VVVVVVVVVVVV,1992-01-06,2000-08-28,"","",,"",1,0,1,0,1,
314,0,314,NFI,NFI,,NZFE,"Index-SPI-40 Capital",,Settlement,"",0,20,20,NZD,"NZD 20 x Index","points",1,20,IIVIIVIIVIIV,1992-09-18,1995-09-28,"","10:00 - 15:00",,"",0,0,1,0,1,
315,0,315,NGT,NGT,,NZFE,"New Zealand Govt Stock(5  Yr)",,Settlement,"",0,10,1000,USD,"NZD 100000","PERCENT",1,10,IIVIIVIIVIIV,1992-09-18,1993-06-16,"","08:05 - 17:00",,"",2,0,0,0,1,
316,0,316,NBB,NBB,BB,ASX,"90 Day New Zealand Bank Bills",Combined,Settlement,"NBB,NB1,NB2",1,24,2400,NZD,"NZD 1000000","NZD/bas pt",1,24,IIVIIVIIVIIV,1992-09-18,2020-10-28,"","17:10 - 16:30",,"",2,0,1,0,1,8517
317,0,317,SMF,SMF,,SOFFEX,"Swiss Govt Bond-5 Yr",,Settlement,"",0,10,1000,CHF,"CHF100K","percent",1,10,IIVIIVIIVIIV,1991-10-03,1994-01-17,"","08:30 - 17:00",,"",2,0,0,0,1,
318,0,318,KPO,KPO,FCPO,MDEX,"Crude Palm Oil",,Settlement,"",1,25,25,MYR,"25 tonnes","MYR/tonne",1,25,VSVSVSVSVSVS,1992-10-09,2020-10-28,"","10:30 - 18:00",,"",0,0,1,0,1,68348
319,0,319,OMX,OMX,,SOM,"OMX Index (Forward)",,Settlement,"",0,1,100,SEK,"SEK 100 x Index","points",1,1,VVVVVVVVVVVV,1992-10-09,2005-08-23,"","09:30 - 17:30",,"",2,0,1,1,1,
320,0,320,AEX,AEX,FTI,EOE,"AEX Index",,Settlement,"",1,2,200,EUR,"EUR 200 x Index","points",1,2,SSVSSVSSVSSV,1992-10-09,2020-10-28,"","08:00 - 18:30",,"",2,0,1,0,1,24485
321,0,321,TOP,TOP,,EOE,"Dutch Top 5 Index",,Settlement,"",0,2,200,EUR,"EUR 200 x Index","points",1,2,VVVVVVVVVVVV,1992-10-09,1999-01-18,"","",,"",2,0,0,0,1,
322,0,322,EUR,EUR,,EOE,"Eurotop100 Index",,Settlement,"",0,2,200,NLG,"NLG 200 x Index","points",1,2,VVVVVVVVVVVV,1992-10-09,1998-12-18,"","",,"",2,0,0,0,1,
323,0,323,EBB,EBB,,EOE,"Dutch Guilder @7%",,Settlement,"",0,25,2500,NLG,"NLG250000","NLG/bas pt",1,25,IIVIIVIIVIIV,1992-10-09,1998-06-09,"","",,"",2,0,0,0,1,
324,0,324,EUG,EUG,,EOE,"U.S. Dollar",,Settlement,"",0,250,25000,NLG,"$25000","NLG/USD",1,250,SSVSSVSSVSSV,1992-10-09,1998-03-20,"","",,"",2,0,0,0,1,
325,0,325,KPK,KPK,,MDEX,"Palm Kernel Oil",,Settlement,"",0,15,15,MYR,"15 tonnes","MYR/tonne",1,15,VVVVVVVVVVVV,1992-10-29,1995-05-03,"","",,"",0,0,0,0,1,
326,0,326,ATX,ATX,,OTOB,"Austrian Trade Index",,Settlement,"",0,1,100,EUR,"EUR 10 x Index","points",1,1,SSVSSVSSVSSV,1992-11-10,2014-03-21,"","10:30 - 14:00",,"",2,0,1,1,1,
327,0,327,IFC,IFC,,MIF,"Italian Govt Bond-5Yr",,Settlement,"",0,20000,2000000,ITL,"ITL200000000","percent",1,20000,IIVIIVIIVIIV,1992-12-11,1998-06-04,"","",,"",2,0,0,0,0,
328,0,328,MM9,MM9,,MATIF,"French Long Govt Bond-(15/30Yr)",,Settlement,"",0,,,USD,"","",1,,IIVIIVIIVIIV,1993-01-28,1993-12-27,"","09:00 - 16:30",,"",2,0,0,0,1,
329,0,329,KFX,KFX,,OMX,"OMXC20 Index",,Settlement,"",0,100,10000,DKK,"DKK 10000 x Index","points",5,500,VVVVVVVVVVVV,1993-01-26,2012-06-15,"","09:00 - 15:30",,"",2,0,1,0,0,
330,0,330,SHK,SHK,HK,SGX,"Hong Kong Index",,Settlement,"",0,5,5,USD,"USD 5 x Index","points",1,5,SSVSSVSSVSSV,1998-11-23,2016-08-26,"","09:30 - 16:15",,"",0,0,1,0,1,
331,0,331,MFX,MFX,,MEFF,"IBEX 35 Index",,Settlement,"",1,1,10,EUR,"EUR 10 x Index","points",5,5,SSVSSVSSVSSV,1992-04-20,2020-10-28,"","08:00 - 20:00",,"",1,0,1,0,1,14821
332,0,332,NGV,NGV,TY,ASX,"3-Year New Zealand Govt Stock",,Settlement,"",0,10,1000,NZD,"NZD 100000","percent",1,10,IIVIIVIIVIIV,1993-06-10,2019-10-24,"","17:40 - 16:30",,"",2,0,1,0,1,
333,0,333,NGB,NGB,TN,ASX,"10-Year New Zealand Govt Stock",,Settlement,"",0,10,1000,NZD,"NZD 100000","percent",1,10,IIVIIVIIVIIV,1993-06-10,2019-10-24,"","17:40 - 16:30",,"",2,0,1,0,1,
334,0,334,MF?,MF?,,MATIF,"French Medium Govt Bond(3/5Yr)",,Settlement,"",0,50,5000,FRF,"FRF 500000","percent",1,50,IIVIIVIIVIIV,1993-06-17,1994-03-11,"","09:00 - 16:30",,"",2,0,0,0,1,
335,0,335,POM,POM,,MATIF,"Potatoes",,Settlement,"",0,2,200,FRF,"200 kilograms","FRF/kg",1,2,IVIVVIIIIIVI,1993-06-16,1997-05-28,"","10:45 - 16:00",,"",2,0,0,0,1,
336,0,336,AGB,AGB,,OTOB,"Austrian Govt Bond-10Yr",,Settlement,"",0,1000,100000,ATS,"ATS 1000000","percent",1,1000,IIVIIVIIVIIV,1993-07-08,1999-03-12,"","09:00 - 16:00",,"",2,0,0,0,0,
337,0,337,SJB,SJB,JB,SGX,"mini 10-Year Japanese Govt Bond",Combined,Settlement,"SJB,SJ2,SJ1",1,1000,100000,JPY,"JPY 10000000","percent",1,1000,IIVIIVIIVIIV,1993-10-01,2020-10-28,"","17:30 - 17:15",,"",2,0,1,0,1,927
338,0,338,OBX,OBX,,OSLO,"OBX Index",,Settlement,"",1,1,100,NOK,"NOK100 x Index","points",5,5,SSVSSVSSVSSV,1993-09-17,2020-10-28,"","08:30 - 16:20",,"",2,0,1,1,1,3269
339,0,339,MFA,MFA,,MEFF,"MIBOR 1Yr",,Settlement,"",0,100,10000,EUR,"EUR 1000000","EUR/bas pt",1,100,IIVIIVIIVIIV,1993-10-01,1999-12-15,"","09:00 - 17:15",,"",2,0,0,0,1,
340,0,340,RDK,RDK,,FUTOP,"Danish CIBOR(3Mth)",,Settlement,"",0,100,10000,DKK,"DKK 1000000","DKK/bas pt",1,100,IIVIIVIIVIIV,1993-10-01,2000-11-30,"","",,"",2,0,0,0,1,
341,0,341,LSP,LSP,,LCE,"Sugar  #7 Premium Raw",,Settlement,"",0,11.2,1120,USD,"112K lbs","cents/lb",1,11.2,VIVIVIVIIVII,1993-10-01,1996-04-09,"","05:30 - 14:00",,"",2,0,0,0,1,
342,0,342,BFX,BFX,,BELFOX,"Belgian 20 Index",,Settlement,"",1,1,10,EUR,"EUR 10 x Index","points",1,1,VVVVVVVVVVVV,1993-10-29,2020-10-28,"","09:00 - 16:00",,"",1,0,1,0,1,0
343,0,343,SUM,SUM,,SIMEX,"Deutsche Mark-Deferred Spot",,Settlement,"",0,10,100000,DEM,"$100000","DEM",1,10,IIVIIVIIVIIV,1993-11-01,1998-06-10,"","08:05 - 19:05",,"",4,0,0,0,1,
344,0,344,SDY,SDY,,SIMEX,"Japanese Yen-Deferred Spot",,Settlement,"",0,1000,100000,JPY,"$100000","JPY",1,1000,IIVIIVIIVIIV,1993-11-01,1998-06-10,"","08:00 - 19:00",,"",2,0,0,0,1,
345,0,345,PI,PI,,CBT,"Struct Panel Index",,Settlement,"",0,10,100,USD,"100000 MSF","USD/1000 MSF",1,10,VIVIVIVIVIVI,1994-01-25,1995-09-28,"","09:15 - 16:15",,"",1,0,0,0,1,
346,0,346,JNW,JNW,,OSE,"Nikkei 300 Index",Combined,Settlement,"JNW,JN4,JN3",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,1994-02-14,2014-07-25,"","09:00 - 16:30",,"",1,0,1,1,1,
347,0,347,FMC,FMC,,LIFFE,"FTSE 250 Index",,Settlement,"",0,10,100,GBP,"GBP 100 x Index","points",5,50,IIVIIVIIVIIV,1994-02-25,2014-03-21,"","04:05 - 11:05",,"",1,0,0,0,1,
348,0,348,BXL,BXL,,DTB,"German Buxl-Extra Long",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1994-03-11,1995-06-08,"","08:00 - 17:30",,"",2,0,0,0,0,
349,0,349,DFI,DFI,,DTB,"FIBOR 3Mth",,Settlement,"",0,25,2500,DEM,"DEM1000000","DEM/bas pt",1,25,IIVIIVIIVIIV,1994-03-18,1996-12-17,"","08:45 - 17:15",,"",2,0,0,0,1,
350,0,350,YR,YR,,CME,"T-Bill-U.S. 1 Yr",,Settlement,"",0,5,5000,USD,"$500000","$/bas pt",1,5,IIVIIVIIVIIV,1994-03-28,1995-03-02,"","07:20 - 14:00",,"",3,0,0,0,1,
351,0,351,CN?,CN?,,CBT,"Canadian Govt Bond-10Yr",,Settlement,"",0,10,1000,CAD,"CAD100000","percent",1,10,IIVIIVIIVIIV,1994-04-08,1995-03-22,"","07:20 - 14:00",,"",2,0,0,0,1,
355,0,355,BR,BR,BR,CME,"Brazilian Real",,Settlement,"",1,10,100000,USD,"BRL 100000","USD/BRL",1,10,VVVVVVVVVVVV,1995-11-08,2020-10-28,"","07:20 - 14:00",,"",4,0,0,0,1,32565
356,0,356,TOF,TOF,,TFE,"Toronto 100 Index",,Settlement,"",0,5,500,CAD,"CAD 500 x Index","points",5,25,SSVSSVSSVSSV,1994-05-20,1999-09-17,"","09:30 - 16:15",,"",2,0,0,0,1,
357,0,357,ETC,ETC,RSM,MATIF,"Rapeseed Meal",,Settlement,"",1,0.3,30,EUR,"30 metric tons","EUR/metric ton",25,7.5,IIVIIVIIVIIV,1999-10-29,2020-10-28,"","10:45 - 18:30",,"",2,0,1,0,1,0
358,0,358,COM,COM,ECO,MATIF,"Rapeseed",,Settlement,"",1,5,50,EUR,"50 metric tons","EUR/tonne",2.5,12.5,IVIIVIIVIIVI,1994-10-28,2020-10-28,"","10:45 - 19:00",,"",1,1,1,0,1,10992
359,0,359,IFX,IFX,,MIF,"MIB 30 Index",,Settlement,"",0,5,5,EUR,"EUR 5 x Index","points",1,5,IIVIIVIIVIIV,1994-11-28,2004-09-17,"","09:30 - 17:30",,"",0,0,0,0,1,
360,0,360,MK9,MK9,,FINEX,"Swedish Krona/DMark",,Settlement,"",0,12.5,125000,SEK,"DEM 125000","SEK/DEM",5,62.5,IIVIIVIIVIIV,1996-03-22,1999-12-13,"","19:00 - 15:00",,"",4,0,0,0,1,
361,0,361,YF,YF,YF,FINEX,"Swiss Franc/USD",,Settlement,"",0,2,200000,CHF,"$200K","CHF",5,10,IIVIIVIIVIIV,1996-02-09,2008-07-28,"","19:00 - 15:00",,"",5,0,0,0,1,
362,0,362,YM8,YM8,,FINEX,"Deutsche Mark/USD",,Settlement,"",0,20,200000,USD,"DEM 200000","USD/DEM",1,20,IIVIIVIIVIIV,1996-02-09,1999-12-13,"","19:00 - 15:00",,"",4,0,0,0,1,
363,0,363,YP,YP,YP,FINEX,"U.S. Dollar/British Pound",,Settlement,"",0,1.25,125000,USD,"GBP 125000","USD",5,6.25,IIVIIVIIVIIV,1996-02-09,2008-07-28,"","19:00 - 15:00",,"",5,0,0,0,1,
364,0,364,YY,YY,YY,FINEX,"Japanese Yen/USD",,Settlement,"",0,200,200000,JPY,"$200000","JPY",5,1000,IIVIIVIIVIIV,1996-02-09,2008-07-28,"","19:00 - 15:00",,"",3,0,0,0,1,
365,0,365,MF2,MF2,,FINEX,"Deutsche Mark/French Franc",,Settlement,"",0,50,500000,FRF,"DEM 500000","FRF",1,50,IIVIIVIIVIIV,1994-06-17,1999-02-23,"","19:00 - 15:00",,"",4,0,0,0,1,
366,0,366,MH,MH,,FINEX,"Deutsche Mark/Swiss Franc",,Settlement,"",0,12.5,125000,CHF,"DEM 125000","CHF",1,12.5,IIVIIVIIVIIV,1995-09-29,2004-11-26,"","19:00 - 15:00",,"",4,0,0,0,1,
367,0,367,ML,ML,,FINEX,"Deutsche Mark/Italian Lira",,Settlement,"",0,2500,250000,ITL,"DEM250000","ITL",5,12500,IIVIIVIIVIIV,1994-08-08,1999-03-15,"","19:00 - 15:00",,"",2,0,0,0,1,
368,0,368,BM,BM,,FINEX,"British Pnd/Deutsche Mark",,Settlement,"",0,12.5,125000,DEM,"GBP 125000","DEM",1,12.5,IIVIIVIIVIIV,1994-06-17,1999-12-13,"","19:00 - 15:00",,"",4,0,0,0,1,
369,0,369,MY,MY,,FINEX,"Deut. Mark/Japanese Yen",,Settlement,"",0,1250,125000,JPY,"DEM 125000","JPY",1,1250,IIVIIVIIVIIV,1994-07-13,1999-12-13,"","19:00 - 15:00",,"",2,0,0,0,1,
370,0,370,FM9,FM9,,CME,"Deutsche Mark Forward",,Settlement,"",0,25,2500000,DEM,"$250000","DEM",1,25,VVVVVVVVVVVV,1994-09-12,2001-09-11,"","",,"",5,0,0,0,1,
371,0,371,FE9,FE9,,CME,"Japanese Yen Forward",,Settlement,"",0,25,25000,JPY,"$250000","JPY",1,25,VVVVVVVVVVVV,1995-01-17,1997-01-09,"","",,"",3,0,0,0,1,
372,0,372,ZR,ZR,ZR,ICEUS,"US Dollar/South African Rand",,Settlement,"",1,1,100000,ZAR,"$100000","ZAR/USD",5,5,IIVIIVIIVIIV,1997-04-03,2020-10-28,"","20:00 - 17:00",,"",5,0,0,0,1,0
373,0,373,SS,SS,SS,ICEUS,"British Pound/Swiss Franc",,Settlement,"",1,1.25,125000,CHF,"GBP 125000","CHF/GBP",10,12.5,IIVIIVIIVIIV,1997-04-18,2020-10-28,"","20:00 - 17:00",,"",5,0,0,0,1,0
374,0,374,SY,SY,SY,ICEUS,"British Pound/Japanese Yen",,Settlement,"",1,125,125000,JPY,"GBP125000","JPY/GBP",10,1250,IIVIIVIIVIIV,1997-04-18,2020-10-28,"","20:00 - 17:00",,"",3,0,0,0,1,0
375,0,375,MT,MT,,FINEX,"Deutsche Mark/Spanish Peseta",,Settlement,"",0,2500,25000000,ESP,"DEM250K","ESP",1,2500,IIVIIVIIVIIV,1997-04-18,1999-02-23,"","19:00 - 15:00",,"",4,0,0,0,1,
376,0,376,CL1,CL1,CL,NYMEX,"Crude Oil",ETH,Last,"CL,CL1,CL2",1,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,1993-06-25,2020-10-28,"","18:00 - 17:15",,"",2,0,0,0,1,561767
377,0,377,HO1,HO1,HO,NYMEX,"NY Harbor ULSD",ETH,Last,"HO,HO1,HO2",1,4.2,42000,USD,"42000 gallons","USD/gal",1,4.2,VVVVVVVVVVVV,1993-06-25,2020-10-28,"","18:00 - 17:15",,"",4,0,0,0,1,171723
378,0,0,HU1,,,NYMEX,"UNLEADED GAS",ETH,Last,"HU,HU1,HU2",0,,,,"","",,,VVVVVVVVVVVV,1993-06-25,2009-09-02,"","",,"",4,0,0,0,0,
379,0,379,PL1,PL1,PL,NYMEX,"Platinum",ETH,Last,"PL,PL1,PL2",1,5,50,USD,"50 oz troy","USD/oz troy",1,5,VSSVSSVSSVSS,1993-07-02,2020-10-28,"","18:00 - 17:15",,"",1,0,0,0,1,9405
380,0,380,FVD,FVD,,DTB,"VOLAX  Index",,Settlement,"",0,0.25,25,EUR,"EUR 25 x Index","points",1,0.25,IIVIIVIIVIIV,1998-01-19,1998-12-17,"","09:00 - 17:00",,"",2,0,0,0,1,
381,0,381,YTC,YTC,XT,ASX,"10-Year Australian Govt Bond (6%)",RTH,Settlement,"YTC,YT3,YT4",1,9.4,9400,AUD,"AUD100000","percent",5,47,IIVIIVIIVIIV,1984-12-05,2020-10-28,"","08:30 - 16:30",,"",3,1,1,0,1,107565
382,0,382,TU,TU,TU,CBT,"2-Year U.S. T-Note",Combined,Settlement,"TU,TU3,ZT",1,6.25,2000,USD,"$200000","points",1.25,7.8125,IIVIIVIIVIIV,1990-06-22,2020-10-28,"","17:00 - 16:00",,"",-8,0,0,0,1,152282
383,0,383,SKD,SKD,,SICOM,"Coffee",,Settlement,"",0,10,10,USD,"10 tonne","USD/tonne",1,10,VIVIVIVIVIVI,1995-03-01,2004-11-10,"","10:00 - 17:30",,"",0,0,1,0,1,
384,0,384,DSN,DSN,,FUTOP,"Danish Govt Bond 2004 %7",,Settlement,"",0,100,10000,DKK,"DKK 1000000","points",1,100,IIVIIVIIVIIV,1995-03-21,1996-03-18,"","08:00 - 16:00",,"",2,0,0,0,1,
385,0,385,RKE,RKE,,FUTOP,"Mortgage Futures-Danish 2026 6%",,Settlement,"",0,100,10000,DKK,"DKK 1000000","points",1,100,IIVIIVIIVIIV,1995-03-02,2000-12-28,"","08:00 - 16:00",,"",2,0,0,0,1,
386,0,386,LX,LX,,FINEX,"Market Debt-Emerging",,Settlement,"",0,1,1000,USD,"$1000 x Index","points",1,1,VVVVVVVVVVVV,1995-11-03,1997-06-19,"","08:00 - 13:00",,"",3,0,0,0,1,
387,0,387,CA,CA,,CBT,"Corn Yield Insurance-Iowa",,Settlement,"",0,10,100,USD,"$100 x YIELD","bu/acre",1,10,VIIIIIIIVVII,1995-06-02,2001-01-10,"","10:30 - 12:45",,"",1,0,0,0,1,
388,0,388,SCO,SCO,,SGX,"Crude Oil-Brent",,Settlement,"",0,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,1995-06-09,2002-03-14,"","04:25 - 15:15",,"",2,0,1,0,1,
389,0,389,KG,KG,,KCBT,"Natural Gas Western",,Settlement,"",0,10,10000,USD,"10000 M Btu","$/M Btu",1,10,VVVVVVVVVVVV,1995-08-01,2000-01-27,"","09:20 - 14:30",,"",3,0,0,0,1,
391,0,391,IND,IND,IND,BMF,"Ibovespa Index",,Settlement,"",1,1,1,BRL,"BRL 1 x Index","points",1,1,IVIVIVIVIVIV,1990-07-13,2020-10-28,"","09:00 - 18:10",,"",0,0,1,0,1,145930
392,0,392,BOI,BOI,,BMF,"Live Cattle",,Settlement,"",0,3.3,330,USD,"4950 kg","USD/15kg",1,3.3,VVVVVVVVVVVV,1995-06-15,2001-03-01,"","15:00 - 16:00",,"",2,0,1,0,1,
393,0,393,CFC,CFC,ICF,BMF,"Arabica Coffee",,Settlement,"",1,1,100,USD,"6000 kg","USD/60kg",5,5,IIVIVIVIVIIV,1995-06-15,2020-10-28,"","15:30 - 15:00",,"",2,0,1,0,1,817
394,0,394,DIJ,DIJ,DI1,BMF,"One Day Bank Deposits",,Settlement,"",1,1,1000,BRL,"BRL 100000","percent",1,1,VSSVSSVSSVSS,1995-05-02,2020-10-28,"","09:00 - 16:00",,"",3,0,1,0,1,1922105
395,0,395,DOL,DOL,DOL,BMF,"US Dollar",,Settlement,"",1,0.5,50,BRL,"$50000","BRL/USD 1000",1,0.5,VVVVVVVVVVVV,1997-05-30,2020-10-28,"","09:00 - 18:00",,"",2,0,1,0,1,252800
396,0,396,NTP,NTP,,NZFE,"SPI-10 Capital Index",,Settlement,"",0,20,200,NZD,"NZD 20 x Index","points",1,20,IIVIIVIIVIIV,1995-08-02,2003-10-31,"","10:00 - 15:00",,"",1,0,1,0,1,
397,0,397,FOX,FOX,,HEX,"FOX Index",,Settlement,"",0,0.1,10,EUR,"EUR 10 x Index","points",5,0.5,IVIVIVIVIVIV,1995-08-24,2000-02-24,"","10:00 - 16:00",,"",2,0,0,0,1,
398,0,398,FT,FT,,CME,"Fed Fund Rate(30 Day)",,Settlement,"",0,2.5,2500,USD,"$3000000","USD/bas pt",1,2.5,VVVVVVVVVVVV,1995-10-12,1997-11-18,"","08:20 - 15:00",,"",3,0,0,0,1,
400,0,400,WP9,WP9,,ICECA,"Field Peas",,Settlement,"",0,0.2,20,USD,"20 tonnes","USD/tonne",10,2,IVVVVVVVIVIV,1995-11-01,2002-10-15,"","09:30 - 13:15",,"",2,0,0,0,0,
401,0,401,SG,SG,SG,CME,"S&P 500 BARRA Growth Index",,Settlement,"",1,2.5,250,USD,"$250 x Index","points",10,25,IIVIIVIIVIIV,1995-11-06,2020-10-28,"","09:30 - 16:15",,"",2,0,0,0,1,0
402,0,402,SU,SU,SU,CME,"S&P 500 BARRA Value Index",,Settlement,"",1,2.5,250,USD,"$250 x Index","points",10,25,IIVIIVIIVIIV,1995-11-06,2020-10-28,"","09:30 - 16:15",,"",2,0,0,0,1,0
403,0,403,DK,DK,DK,CME,"Class IV Milk",,Settlement,"",1,20,2000,USD,"200000 lbs","$/hundredweight",1,20,VVVVVVVVVVVV,2000-07-10,2020-10-28,"","08:00 - 13:10",,"",2,0,0,0,1,19
404,0,404,DA,DA,DA,CME,"Class III Milk",Combined,Settlement,"DA,DA2,DA1",1,20,2000,USD,"200000 lbs.","USD/CWT",1,20,VVVVVVVVVVVV,1996-01-11,2020-10-28,"","17:00 - 13:55",,"",2,0,0,0,1,2095
405,0,405,DSO,DSO,,FUTOP,"Danish 2006 Govt Bond-8%",,Settlement,"",0,100,10000,DKK,"DKK 1000000","points",1,100,IIVIIVIIVIIV,1996-01-15,1997-09-15,"","08:00 - 16:00",,"",2,0,0,0,1,
406,0,406,FKL,FKL,FKLI,MDEX,"KLSE Comp Index",,Settlement,"",1,5,50,MYR,"MYR 50 x Index","points",1,5,SSVSSVSSVSSV,1995-12-15,2020-10-28,"","08:45 - 17:15",,"",1,0,1,0,1,41783
407,0,407,JMB,JMB,,TSE,"Japanese Govt Bond(5Yr)",,Settlement,"",0,10000,1000000,JPY,"JPY 100000000","points",1,10000,IIVIIVIIVIIV,1996-02-16,2002-06-11,"","09:00 - 15:00",,"",2,0,1,1,1,
408,0,408,BX,BX,,CBT,"Mexican Brady Bond",,Settlement,"",0,31.25,1000,USD,"$10000 x Index","points",1,31.25,IIVIIVIIVIIV,1996-03-01,1996-06-19,"","07:20 - 14:00",,"",-3,0,0,0,1,
409,0,409,S2,S2,S,CBT,"Soybeans",Combined,Settlement,"S,S2,ZS",1,6.25,50,USD,"5000bu","cents/bu",2,12.5,VIVIVIVVVIVI,1949-01-03,2020-10-28,"S starts at 1947-07-07","19:00 - 13:20",,"",-1,0,0,0,1,342446
410,0,410,SM2,SM2,SM,CBT,"Soybean Meal",Combined,Settlement,"SM,SM2,ZM",1,10,100,USD,"100 short tons","USD/short ton",1,10,VIVIVIVVVVIV,1951-08-29,2020-10-28,"SM starts at 1951-08-29","19:00 - 13:20",,"",1,0,0,0,1,108217
